CompanyName;FirstName;LastName;Address;Country;OrderID;OrderDate;RequiredDate;ShippedDate;Freight;UnitPrice;Quantity;ProductName;NumInStore
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;80;4;Sir Rodney´s Marmalade;268
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;47;5;Northwoods Cranberry Sauce;8990
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;45;5;Queso Manchego La Pastora;245
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;42;5;Wimmers gute Semmelknödel;888
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;42;5;Camembert Pierrot;55
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;41;4;Mascarpone Fabioli;779
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;40;4;Sushi;257
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;39;4;Uncle Bob´s Organic Dried Pears;2355
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;35;4;Grandma´s Boysenberry Spread;489
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;34;4;Tofu;450
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;34;5;Pâté chinois;1600
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;33;4;Chef Anton´s Cajun Seasoning;1200
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;30;27;Sill;290
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;29;5;Pavlova;2400
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;29;4;Louisiana Hot Spiced Okra;55
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;29;5;Chartreuse verte;36
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;27;5;Röd Kaviar;125
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;25;6;Spegesild;790
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;25;5;Original Frankfurter grüne Soße;944
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;23;6;Jack´s New England Clam Chowder;734
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;23;7;Aniseed Syrup;120
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;22;5;Tunnbröd;0
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;21;7;Rhönbräu Klosterbier;667
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;21;5;Filo Mix;78
Rattlesnake Canyon Grocery;Paula;Wilson;2817 Milton Dr;USA;11077;2001-08-18;2001-09-15;;9;20;7;Bröd;230
Richter Supermarkt;Michael;Holz;Grenzacherweg 237;Switzerland;11075;2001-08-18;2001-09-15;;6;30;13;Sill;290
Richter Supermarkt;Michael;Holz;Grenzacherweg 237;Switzerland;11075;2001-08-18;2001-09-15;;6;29;5;Lakkalikööri;2000
Richter Supermarkt;Michael;Holz;Grenzacherweg 237;Switzerland;11075;2001-08-18;2001-09-15;;6;25;33;Spegesild;790
Simons bistro;Jytte;Petersen;Vinbæltet 34;Denmark;11074;2001-08-18;2001-09-15;;18;29;17;Pavlova;2400
Trocadero;Laurence;Lebihan;12, rue des Bouchers;France;11076;2001-08-18;2001-09-15;;38;35;23;Grandma´s Boysenberry Spread;489
Trocadero;Laurence;Lebihan;12, rue des Bouchers;France;11076;2001-08-18;2001-09-15;;38;34;23;Tofu;450
Trocadero;Laurence;Lebihan;12, rue des Bouchers;France;11076;2001-08-18;2001-09-15;;38;22;13;Teatime Chocolate Biscuits;4000
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11072;2001-08-17;2001-09-14;;259;42;133;Wimmers gute Semmelknödel;888
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11072;2001-08-17;2001-09-14;;259;30;11;Sill;290
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11072;2001-08-17;2001-09-14;;259;28;25;Valkoinen suklaa;1600
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11072;2001-08-17;2001-09-14;;259;23;43;Jack´s New England Clam Chowder;734
Lehmanns Marktstand;Renate;Messner;Magazinweg 7;Germany;11070;2001-08-17;2001-09-14;;136;30;23;Sill;290
Lehmanns Marktstand;Renate;Messner;Magazinweg 7;Germany;11070;2001-08-17;2001-09-14;;136;29;43;Te från himlen;5000
Lehmanns Marktstand;Renate;Messner;Magazinweg 7;Germany;11070;2001-08-17;2001-09-14;;136;29;33;Pavlova;2400
Lehmanns Marktstand;Renate;Messner;Magazinweg 7;Germany;11070;2001-08-17;2001-09-14;;136;25;23;Gorgonzola Telino;653
LILA-Supermercado;Carlos;González;Carrera 52 con Ave Bolívar #65-98 Llano Largo;Venezuela;11071;2001-08-17;2001-09-14;;1;39;18;Uncle Bob´s Organic Dried Pears;2355
LILA-Supermercado;Carlos;González;Carrera 52 con Ave Bolívar #65-98 Llano Largo;Venezuela;11071;2001-08-17;2001-09-14;;1;20;13;Bröd;230
Pericles Comidas clásicas;Guillermo;Fernández;Calle Dr Jorge Cash 321;Mexico;11073;2001-08-17;2001-09-14;;25;29;13;Queso Cabrales;780
Pericles Comidas clásicas;Guillermo;Fernández;Calle Dr Jorge Cash 321;Mexico;11073;2001-08-17;2001-09-14;;25;19;23;Guaraná Fantástica;2678
Drachenblut Delikatessen;Sven;Ottlieb;Walserweg 21;Germany;11067;2001-08-16;2001-08-30;2001-08-18;8;23;12;Jack´s New England Clam Chowder;734
Queen Cozinha;Lúcia;Carvalho;Alameda dos Canàrios, 891;Brazil;11068;2001-08-16;2001-09-13;;82;52;39;Ipoh Coffee;2456
Queen Cozinha;Lúcia;Carvalho;Alameda dos Canàrios, 891;Brazil;11068;2001-08-16;2001-09-13;;82;51;11;Rössle Sauerkraut;88
Queen Cozinha;Lúcia;Carvalho;Alameda dos Canàrios, 891;Brazil;11068;2001-08-16;2001-09-13;;82;25;31;Original Frankfurter grüne Soße;944
Tortuga Restaurante;Miguel;Angel Paolino;Avda Azteca 123;Mexico;11069;2001-08-16;2001-09-13;2001-08-18;16;29;23;Chartreuse verte;36
LILA-Supermercado;Carlos;González;Carrera 52 con Ave Bolívar #65-98 Llano Largo;Venezuela;11065;2001-08-13;2001-09-10;;13;36;7;Nord-Ost Matjeshering;662
LILA-Supermercado;Carlos;González;Carrera 52 con Ave Bolívar #65-98 Llano Largo;Venezuela;11065;2001-08-13;2001-09-10;;13;21;23;Tourtière;780
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11064;2001-08-13;2001-09-10;2001-08-16;30;46;80;Alice Mutton;44
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11064;2001-08-13;2001-09-10;2001-08-16;30;41;28;Perth Pasties;500
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11064;2001-08-13;2001-09-10;2001-08-16;30;34;7;Pâté chinois;1600
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11064;2001-08-13;2001-09-10;2001-08-16;30;25;58;Scottish Longbreads;5000
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11064;2001-08-13;2001-09-10;2001-08-16;30;23;15;Jack´s New England Clam Chowder;734
White Clover Markets;Karl;Jablonski;305 - 14th Ave Suite 3B;USA;11066;2001-08-13;2001-09-10;2001-08-16;45;29;6;Pavlova;2400
White Clover Markets;Karl;Jablonski;305 - 14th Ave Suite 3B;USA;11066;2001-08-13;2001-09-10;2001-08-16;45;26;38;Sasquatch Ale;2560
White Clover Markets;Karl;Jablonski;305 - 14th Ave Suite 3B;USA;11066;2001-08-13;2001-09-10;2001-08-16;45;22;45;Teatime Chocolate Biscuits;4000
Franchi SpA;Paolo;Accorti;Via Monte Bianco 34;Italy;11060;2001-08-12;2001-09-09;2001-08-16;11;42;7;Camembert Pierrot;55
Franchi SpA;Paolo;Accorti;Via Monte Bianco 34;Italy;11060;2001-08-12;2001-09-09;2001-08-16;11;25;13;Original Frankfurter grüne Soße;944
Great Lakes Food Market;Howard;Snyder;2732 Baker Blvd;USA;11061;2001-08-12;2001-09-23;;14;42;18;Camembert Pierrot;55
Hungry Owl All-Night Grocers;Patricia;McKenna;8 Johnstown Road;Ireland;11063;2001-08-12;2001-09-09;2001-08-18;82;30;43;Boston Crab Meat;21
Hungry Owl All-Night Grocers;Patricia;McKenna;8 Johnstown Road;Ireland;11063;2001-08-12;2001-09-09;2001-08-18;82;26;33;Sasquatch Ale;2560
Hungry Owl All-Night Grocers;Patricia;McKenna;8 Johnstown Road;Ireland;11063;2001-08-12;2001-09-09;2001-08-18;82;23;33;Jack´s New England Clam Chowder;734
Reggiani Caseifici;Maurizio;Moroni;Strada Provinciale 124;Italy;11062;2001-08-12;2001-09-09;;30;41;13;Perth Pasties;500
Reggiani Caseifici;Maurizio;Moroni;Strada Provinciale 124;Italy;11062;2001-08-12;2001-09-09;;30;27;15;Outback Lager;2300
Blauer See Delikatessen;Hanna;Moos;Forsterstr 57;Germany;11058;2001-08-11;2001-09-08;;31;42;24;Camembert Pierrot;55
Blauer See Delikatessen;Hanna;Moos;Forsterstr 57;Germany;11058;2001-08-11;2001-09-08;;31;38;7;Sirop d´érable;1300
Blauer See Delikatessen;Hanna;Moos;Forsterstr 57;Germany;11058;2001-08-11;2001-09-08;;31;23;6;Sir Rodney´s Scones;800
North/South;Simon;Crowther;South House 300 Queensbridge;UK;11057;2001-08-11;2001-09-08;2001-08-13;4;27;6;Outback Lager;2300
Ricardo Adocicados;Janete;Limeira;Av Copacabana, 267;Brazil;11059;2001-08-11;2001-09-22;;86;46;15;Alice Mutton;44
Ricardo Adocicados;Janete;Limeira;Av Copacabana, 267;Brazil;11059;2001-08-11;2001-09-22;;86;42;38;Camembert Pierrot;55
Ricardo Adocicados;Janete;Limeira;Av Copacabana, 267;Brazil;11059;2001-08-11;2001-09-22;;86;20;33;Bröd;230
Cactus Comidas para llevar;Patricio;Simpson;Cerrito 333;Argentina;11054;2001-08-10;2001-09-07;;0;26;23;Laughing Lumberjack Lager;3000
Cactus Comidas para llevar;Patricio;Simpson;Cerrito 333;Argentina;11054;2001-08-10;2001-09-07;;0;17;13;Geitost;789
Eastern Connection;Ann;Devon;35 King George;UK;11056;2001-08-10;2001-08-24;2001-08-13;279;42;53;Camembert Pierrot;55
Eastern Connection;Ann;Devon;35 King George;UK;11056;2001-08-10;2001-08-24;2001-08-13;279;39;43;Uncle Bob´s Organic Dried Pears;2355
Eastern Connection;Ann;Devon;35 King George;UK;11056;2001-08-10;2001-08-24;2001-08-13;279;34;38;Pâté chinois;1600
HILARIÓN-Abastos;Carlos;Hernández;Carrera 22 con Ave Carlos Soublette #8-35;Venezuela;11055;2001-08-10;2001-09-07;2001-08-17;121;57;23;Manjimup Dried Apples;566
HILARIÓN-Abastos;Carlos;Hernández;Carrera 22 con Ave Carlos Soublette #8-35;Venezuela;11055;2001-08-10;2001-09-07;2001-08-17;121;31;23;Ravioli Angelo;443
HILARIÓN-Abastos;Carlos;Hernández;Carrera 22 con Ave Carlos Soublette #8-35;Venezuela;11055;2001-08-10;2001-09-07;2001-08-17;121;26;18;NuNuCa Nuß-Nougat-Creme;2433
HILARIÓN-Abastos;Carlos;Hernández;Carrera 22 con Ave Carlos Soublette #8-35;Venezuela;11055;2001-08-10;2001-09-07;2001-08-17;121;19;18;Guaraná Fantástica;2678
Folk och fä HB;Maria;Larsson;Åkergatan 24;Sweden;11050;2001-08-09;2001-09-06;2001-08-17;59;29;53;Lakkalikööri;2000
Hanari Carnes;Mario;Pontes;Rua do Paço, 67;Brazil;11052;2001-08-09;2001-09-06;2001-08-13;67;52;33;Ipoh Coffee;2456
Hanari Carnes;Mario;Pontes;Rua do Paço, 67;Brazil;11052;2001-08-09;2001-09-06;2001-08-13;67;38;13;Sirop d´érable;1300
La maison d´Asie;Annette;Roulet;1 rue Alsace-Lorraine;France;11051;2001-08-09;2001-09-06;;3;19;13;Guaraná Fantástica;2678
Piccolo und mehr;Georg;Pipps;Geislweg 14;Austria;11053;2001-08-09;2001-09-06;2001-08-11;53;65;38;Carnarvon Tigers;12
Piccolo und mehr;Georg;Pipps;Geislweg 14;Austria;11053;2001-08-09;2001-09-06;2001-08-11;53;42;28;Wimmers gute Semmelknödel;888
Piccolo und mehr;Georg;Pipps;Geislweg 14;Austria;11053;2001-08-09;2001-09-06;2001-08-11;53;41;23;Mascarpone Fabioli;779
Bottom-Dollar Markets;Elizabeth;Lincoln;23 Tsawassen Blvd;Canada;11048;2001-08-06;2001-09-03;2001-08-12;24;25;45;Scottish Longbreads;5000
Eastern Connection;Ann;Devon;35 King George;UK;11047;2001-08-06;2001-09-03;2001-08-13;47;32;33;Chef Anton´s Gumbo Mix;1123
Eastern Connection;Ann;Devon;35 King George;UK;11047;2001-08-06;2001-09-03;2001-08-13;47;29;28;Te från himlen;5000
Gourmet Lanchonetes;André;Fonseca;Av Brasil, 442;Brazil;11049;2001-08-06;2001-09-03;2001-08-16;8;45;7;Queso Manchego La Pastora;245
Gourmet Lanchonetes;André;Fonseca;Av Brasil, 442;Brazil;11049;2001-08-06;2001-09-03;2001-08-16;8;30;13;Sill;290
Bottom-Dollar Markets;Elizabeth;Lincoln;23 Tsawassen Blvd;Canada;11045;2001-08-05;2001-09-02;;71;57;27;Manjimup Dried Apples;566
Bottom-Dollar Markets;Elizabeth;Lincoln;23 Tsawassen Blvd;Canada;11045;2001-08-05;2001-09-02;;71;17;18;Geitost;789
Die Wandernde Kuh;Rita;Müller;Adenauerallee 900;Germany;11046;2001-08-05;2001-09-02;2001-08-06;72;45;23;Queso Manchego La Pastora;245
Die Wandernde Kuh;Rita;Müller;Adenauerallee 900;Germany;11046;2001-08-05;2001-09-02;2001-08-06;72;41;18;Mascarpone Fabioli;779
Die Wandernde Kuh;Rita;Müller;Adenauerallee 900;Germany;11046;2001-08-05;2001-09-02;2001-08-06;72;29;21;Steeleye Stout;3400
Wolski  Zajazd;Zbyszek;Piestrzeniewicz;ul Filtrowa 68;Poland;11044;2001-08-05;2001-09-02;2001-08-13;9;54;15;Tarte au sucre;300
