CustomerID;CustomerName;ContactFirstName;ContactLastName;ContactTitle;ContactPosition;LastYearsSales;Address1;Address2;City;Region;Country;PostalCode;Email;WebSite;Phone;Fax
1;City_Cyclists;Chris;Christianson;Mr;Sales_Manager;20045;7464_South_Kingsway;Suite_2006;Sterling_Heights;MI;USA;48358;Christianson@bba.com;http://www.crystaldecisions.com;810-939-6479;810-939-6602
2;Pathfinders;Christine;Manley;Miss;Sales_Representative;26370;410_Eighth_Avenue;Ingen;DeKalb;IL;USA;60148;Manley@arubasport.com;http://www.crystaldecisions.com;815-756-9831;815-756-7536
3;Bike-A-Holics_Anonymous;Gary;Jannis;Mr;Sales_Associate;4500;7429_Arbutus_Boulevard;Suite_2017;Blacklick;OH;USA;43005;Jannis@downunderbikes.com;http://www.crystaldecisions.com;614-759-9924;614-759-6343
4;Psycho-Cycle;Alexander;Mast;Mr;Sales_Representative;52809;8287_Scott_Road;Ingen;Huntsville;AL;USA;35818;Mast@canbikes.com;http://www.crystaldecisions.com;205-430-0587;205-430-7737
5;Sporting_Wheels_Inc;Patrick;Reyess;Mr;Sales_Associate;85643;480_Grant_Way;Suite_1110;San_Diego;CA;USA;92150;Reyess@kangerootrikes.com;http://www.crystaldecisions.com;619-457-3186;619-457-9017
6;Rockshocks_for_Jocks;Heather;Davis;Ms;Sales_Representative;40779;1984_Sydney_Street;Ingen;Austin;TX;USA;78770;Davis@brucebikes.com;http://www.crystaldecisions.com;512-349-7705;512-349-4983
7;Poser_Cycles;Alex;Smith;Mr;Sales_Agent;10923;8194_Peter_Avenue;Ingen;Eden_Prairie;MN;USA;55360;Smith@peddlesofperth.com;http://www.crystaldecisions.com;612-947-4320;612-947-9422
8;Spokes_´N_Wheels_Ltd;Kristina;Chester;Miss;Sales_Representative;25521;3802_Georgia_Court;Ingen;Des_Moines;IA;USA;50305;Chester@koalaroad.com;http://www.crystaldecisions.com;515-237-7769;515-237-9671
9;Trail_Blazer´s_Place;Alexandra;Burris;Mrs;Owner;123658;6938_Beach_Street;Ingen;Madison;WI;USA;53795;Burris@devilbikes.com;http://www.crystaldecisions.com;608-273-4883;608-273-0423
10;Rowdy_Rims_Company;Anthony;Shoemaker;Dr;Sales_Agent;30131;4861_Second_Road;Ingen;Newbury_Park;CA;USA;91341;Shoemaker@piccolobike.com;http://www.crystaldecisions.com;805-375-0117;805-375-3533
11;Clean_Air_Transportation_Co;Bill;Carter;Mr;Sales_Associate;23789;1867_Thurlow_Lane;Suite_1304;Conshohocken;PA;USA;19453;Carter@BCS.com;http://www.crystaldecisions.com;610-941-5771;610-941-0216
12;Hooked_on_Helmets;Gerry;Wade;Mr;Owner;52964;7655_Mayberry_Crescent;Suite_209;Eden_Prairie;MN;USA;55327;Wade@dhakabike.com;http://www.crystaldecisions.com;612-947-3344;612-947-6477
13;C-Gate_Cycle_Shoppe;Matthew;Banks;Mr;Owner;29618;413_Robson_Lane;Suite_1809;Winchester;VA;USA;22618;Banks@barbadossports.com;http://www.crystaldecisions.com;540-662-7167;540-662-2730
14;Alley_Cat_Cycles;Rick;Pratt;Mr;Owner;298356;1842_St._Anne_Place;Suite_618;Concord;MA;USA;1733;Pratt@belgiumbike.com;http://www.crystaldecisions.com;508-287-8535;508-28-73694
15;The_Bike_Cellar;Christopher;Carmine;Mr;Sales_Manager;30939;8404_Nelson_Lane;Suite_2512;Winchester;VA;USA;22616;Carmine@royalcycle.com;http://www.crystaldecisions.com;540-662-2540;540-662-1333
16;Hercules_Mountain_Bikes;James;Sergent;Mr;Sales_Manager;18000;8586_St._Andrew_Crescent;Ingen;DeKalb;IL;USA;60187;Sergent@biccm.com;http://www.crystaldecisions.com;815-756-1819;815-756-7443
17;Whistler_Rentals;Will;Castillo;Mr;Owner;68000;4501_Third_Street;Suite_913;Tualatin;OR;USA;97051;Castillo@brasiliaoutdoors.com;http://www.crystaldecisions.com;503-647-3363;503-647-5593
18;Bikes_and_Trikes;Ian;Kelly;Mr;Owner;12000;2793_Highland_Boulevard;Ingen;Sterling_Heights;MI;USA;48335;Kelly@rdjbikes.com;http://www.crystaldecisions.com;810-939-2133;810-939-9564
19;Changing_Gears;David;Baker;Mr;Sales_Agent;26706;1600_Hyde_Crescent;Ingen;Irvine;CA;USA;92750;Baker@saveirosbike.com;http://www.crystaldecisions.com;714-450-7009;714-450-4103
20;Wheels_and_Stuff;Dan;Simpson;Mr;Sales_Agent;25556;2530_Bute_Avenue;Ingen;Clearwater;FL;USA;34666;Simpson@outdoors.com;http://www.crystaldecisions.com;813-539-9862;813-539-1602
21;Uni-Cycle;Daryl;Davidson;Mr;Sales_Manager;52428;1008_Kerr_Street;Ingen;Blacklick;OH;USA;43042;Davidson@brasiliabike.com;http://www.crystaldecisions.com;614-759-8634;614-7592673
22;Crank_Components;Lori;McIsaac;Miss;Sales_Representative;8030;8001_Oxford_Street;Ingen;Champaign;IL;USA;61870;McIsaac@salvadobikestore.com;http://www.crystaldecisions.com;217-359-3547;217-359-2074
23;Corporate_Cycle;Annie;Harper;Mrs;Sales_Representative;27081;2922_Cambridge_Way;Ingen;Des_Moines;IA;USA;50392;Harper@paradix.com;http://www.crystaldecisions.com;515-237-9995;515-237-0325
24;Pedal_Pusher_Bikes_Inc;Tony;Garneau;Mr;Sales_Associate;39277;4537_Robson_Way;Suite_2829;Port_Coquitlam;BC;Canada;V3C_5U3;Garneau@cyclefever.com;http://www.crystaldecisions.com;604-941-4617;604-941-1657
25;Extreme_Cycling;Zach;Fabro;Mr;Sales_Manager;69819;1925_Glenaire_Avenue;Suite_2705;Clearwater;FL;USA;34638;Fabro@dtom.com;http://www.crystaldecisions.com;813-539-4247;813-539-5445
26;Blazing_Saddles;Trisha;Sanders;Ms;Sales_Manager;42710;4755_Seventieth_Street;Suite_206;Brown_Deer;WI;USA;53226;Sanders@dagcity.com;http://www.crystaldecisions.com;414-354-0524;414-354-7009
27;The_Great_Bike_Shop;Jon;Witt;Mr;Owner;15218;1922_Beach_Crescent;Suite_914;Huntsville;AL;USA;35857;Witt@wnd.com;http://www.crystaldecisions.com;205-430-1083;205-430-6075
28;Pedals_Inc;Patricia;Manon;Miss;Sales_Manager;5000;8922_Field_Street;Ingen;Madison;WI;USA;53795;Manon@ppb.com;http://www.crystaldecisions.com;608-273-4233;608-273-7668
29;Blazing_Bikes;Gary;Campbell;Mr;Sales_Associate;19194;5202_Matthew_Boulevard;Ingen;Eden_Prairie;MN;USA;55334;Campbell@bft.com;http://www.crystaldecisions.com;612-947-5737;612-947-5930
30;Spokes_for_Folks;Brent;Lansing;Mr;Owner;47229;2340_Alexander_Way;Ingen;Hightstown;NJ;USA;8557;Lansing@cyclessports.com;http://www.crystaldecisions.com;609-426-4114;609-426-6467
31;To_The_Limit_Biking_Co;Richard;Grewal;Mr;Sales_Agent;32487;6042_Fell_Court;Ingen;Nampa;ID;USA;83649;Grewal@bikingit.com;http://www.crystaldecisions.com;208-893-5621;208-893-9208
32;Spokes;Sheryl;Rodgers;Mrs;Sales_Associate;27155;964_Jester_Court;Suite_2213;DeKalb;IL;USA;60128;Rodgers@crazyw.com;http://www.crystaldecisions.com;815-756-3253;815-756-5386
33;Fulcrum_Cycles;Markus;Holt;Dr;Sales_Manager;12014;170_St._Joseph_Boulevard;Suite_2023;Winchester;VA;USA;22691;Holt@hcc.com;http://www.crystaldecisions.com;540-662-9895;540-662-8254
